Author Name,Class,identity_group,outer_fold
Stuart Feldman,1,1:Stuart Feldman,2
Suman Chakraborty,1,1:Suman Chakraborty,1
Sunita Sarawagi,1,1:Sunita Sarawagi,4
Svoboda Antonin,1,1:Svoboda Antonin,3
Sylvain Corlay,1,1:Sylvain Corlay,5
T. Goodrich Michael,1,1:T. Goodrich Michael,1
Taisuke Boku,1,1:Taisuke Boku,3
Takahiro Koishi,1,1:Takahiro Koishi,2
Takashi Shimokawabe,1,1:Takashi Shimokawabe,4
Takayuki Aoki,1,1:Takayuki Aoki,2
Takayuki Aoki (1),1,1:Takayuki Aoki,2
Tal Ben-Nun,1,1:Tal Ben-Nun,5
Tamassia Roberto,1,1:Tamassia Roberto,5
Tamassia Roberto (1),1,1:Tamassia Roberto,5
Tan Kian-Lee,1,1:Tan Kian-Lee,1
Tan Kian-Lee (1),1,1:Tan Kian-Lee,1
Tanja Braun,1,1:Tanja Braun,2
